Position Eligibility,Player,Team,Position,Points,Games,Avg
D/ST,Patriots D/ST,NE,D/ST,124,11,11.3
D/ST,Bills D/ST,BUF,D/ST,100,10,10
D/ST,Cardinals D/ST,ARI,D/ST,98,11,8.9
D/ST,Cowboys D/ST,DAL,D/ST,95,10,9.5
D/ST,Colts D/ST,IND,D/ST,94,11,8.6
D/ST,Buccaneers D/ST,TB,D/ST,81,10,8.1
D/ST,Saints D/ST,NO,D/ST,81,10,8.1
D/ST,Eagles D/ST,PHI,D/ST,79,11,7.2
D/ST,Panthers D/ST,CAR,D/ST,79,11,7.2
D/ST,Titans D/ST,TEN,D/ST,76,11,6.9
D/ST,Broncos D/ST,DEN,D/ST,75,10,7.5
D/ST,Packers D/ST,GB,D/ST,75,11,6.8
D/ST,Vikings D/ST,MIN,D/ST,69,10,6.9
D/ST,Dolphins D/ST,MIA,D/ST,69,11,6.3
D/ST,Bears D/ST,CHI,D/ST,63,10,6.3
D/ST,49ers D/ST,SF,D/ST,63,10,6.3
D/ST,Chiefs D/ST,KC,D/ST,63,11,5.7
D/ST,Rams D/ST,LAR,D/ST,61,10,6.1
D/ST,Steelers D/ST,PIT,D/ST,60,10,6
D/ST,Browns D/ST,CLE,D/ST,60,11,5.5
D/ST,Giants D/ST,NYG,D/ST,58,10,5.8
D/ST,Bengals D/ST,CIN,D/ST,56,10,5.6
D/ST,Texans D/ST,HOU,D/ST,55,10,5.5
D/ST,Ravens D/ST,BAL,D/ST,50,10,5
D/ST,Seahawks D/ST,SEA,D/ST,49,10,4.9
D/ST,Raiders D/ST,LV,D/ST,47,10,4.7
D/ST,Washington D/ST,WAS,D/ST,43,10,4.3
D/ST,Jaguars D/ST,JAC,D/ST,42,10,4.2
D/ST,Chargers D/ST,LAC,D/ST,36,10,3.6
D/ST,Lions D/ST,DET,D/ST,32,10,3.2
D/ST,Falcons D/ST,ATL,D/ST,27,10,2.7
D/ST,Jets D/ST,NYJ,D/ST,24,10,2.4
K,Nick Folk,NE,K,119,11,10.8
K,Greg Joseph,MIN,K,101,10,10.1
K,Chris Boswell,PIT,K,99,10,9.9
K,Justin Tucker,BAL,K,95,10,9.5
K,Tyler Bass,BUF,K,94,10,9.4
K,Jake Elliott,PHI,K,94,11,8.6
K,Matt Gay,LAR,K,91,10,9.1
K,Matt Prater,ARI,K,91,11,8.3
K,Zane Gonzalez,CAR,K,90,10,9
K,Evan McPherson,CIN,K,89,10,8.9
K,Dustin Hopkins,Multi,K,89,10,8.9
K,Randy Bullock,TEN,K,89,10,8.9
K,Harrison Butker,KC,K,88,11,8
K,Daniel Carlson,LV,K,87,10,8.7
K,Graham Gano,NYG,K,87,10,8.7
K,Mason Crosby,GB,K,82,11,7.5
K,Brandon McManus,DEN,K,80,10,8
K,Ryan Succop,TB,K,79,10,7.9
K,Greg Zuerlein,DAL,K,78,9,8.7
K,Chase McLaughlin,CLE,K,74,11,6.7
K,Joey Slye,Multi,K,72,8,9
K,Younghoe Koo,ATL,K,68,10,6.8
K,Jason Sanders,MIA,K,66,11,6
K,Cairo Santos,CHI,K,59,10,5.9
K,Jason Myers,SEA,K,56,10,5.6
K,Michael Badgley,Multi,K,54,7,7.7
K,Robbie Gould,SF,K,52,6,8.7
K,Matt Ammendola,NYJ,K,48,10,4.8
K,Rodrigo Blankenship,IND,K,45,5,9
K,Austin Seibert,DET,K,42,6,7
K,Matthew Wright,JAC,K,41,7,5.9
K,Ka'imi Fairbairn,HOU,K,35,7,5
K,Brian Johnson,NO,K,31,5,6.2
K,Tristan Vizcaino,LAC,K,29,6,4.8
K,Aldrick Rosas,Multi,K,22,5,4.4
K,Ryan Santoso,Multi,K,18,4,4.5
K,Chris Blewitt,WAS,K,11,2,5.5
K,Josh Lambo,JAC,K,5,3,1.7
K,Lirim Hajrullahu,DAL,K,5,1,5
K,Brett Maher,NO,K,5,1,5
K,Cody Parkey,NO,K,3,1,3
K,Elliott Fry,FA,K,0,1,0
K,Ty Long,LAC,K,0,9,0
K,Cameron Nizialek,ATL,K,0,4,0
K,JJ Molson,GB,K,0,1,0
QB,Jalen Hurts,PHI,QB,253,11,23
QB,Tom Brady,TB,QB,242.2,10,24.2
QB,Josh Allen,BUF,QB,240.5,10,24.1
QB,Patrick Mahomes II,KC,QB,240.3,11,21.9
QB,Justin Herbert,LAC,QB,233.7,10,23.4
QB,Lamar Jackson,BAL,QB,219.8,9,24.4
QB,Matthew Stafford,LAR,QB,214.3,10,21.4
QB,Kirk Cousins,MIN,QB,203.9,10,20.4
QB,Aaron Rodgers,GB,QB,202.1,10,20.2
QB,Ryan Tannehill,TEN,QB,190.4,11,17.3
QB,Kyler Murray,ARI,QB,184.8,8,23.1
QB,Dak Prescott,DAL,QB,184.3,9,20.5
QB,Joe Burrow,CIN,QB,184.2,10,18.4
QB,Carson Wentz,IND,QB,184.1,11,16.7
QB,Taylor Heinicke,WAS,QB,177.9,10,17.8
QB,Derek Carr,LV,QB,177.6,10,17.8
QB,Teddy Bridgewater,DEN,QB,159.5,10,16
QB,Daniel Jones,NYG,QB,158.5,10,15.9
QB,Mac Jones,NE,QB,155.6,11,14.2
QB,Matt Ryan,ATL,QB,154.7,10,15.5
QB,Jimmy Garoppolo,SF,QB,145.5,9,16.2
QB,Sam Darnold,CAR,QB,143.1,9,15.9
QB,Baker Mayfield,CLE,QB,136.5,10,13.7
QB,Trevor Lawrence,JAC,QB,133.9,10,13.4
QB,Ben Roethlisberger,PIT,QB,132.9,9,14.8
QB,Jameis Winston,NO,QB,120.3,7,17.2
QB,Jared Goff,DET,QB,118,9,13.1
QB,Russell Wilson,SEA,QB,115.8,7,16.5
QB,Tua Tagovailoa,MIA,QB,115.6,7,16.5
QB,Justin Fields,CHI,QB,99.6,10,10
QB,Jacoby Brissett,MIA,QB,76.2,8,9.5
QB,Davis Mills,HOU,QB,75.1,7,10.7
QB,Trevor Siemian,NO,QB,72.7,4,18.2
QB,Tyrod Taylor,HOU,QB,68.1,4,17
QB,Zach Wilson,NYJ,QB,59.9,6,10
QB,Geno Smith,SEA,QB,55.3,4,13.8
QB,Mike White,NYJ,QB,52,4,13
QB,Trey Lance,SF,QB,46.9,5,9.4
QB,Colt McCoy,ARI,QB,39.8,6,6.6
QB,Cam Newton,CAR,QB,37.9,2,19
QB,Taysom Hill,NO,QB,34.8,7,5
QB,Andy Dalton,CHI,QB,31.5,4,7.9
QB,Josh Johnson,NYJ,QB,26.2,2,13.1
QB,Joe Flacco,NYJ,QB,23.8,2,11.9
QB,Cooper Rush,DAL,QB,18.3,2,9.2
QB,Mason Rudolph,PIT,QB,16.3,1,16.3
QB,Case Keenum,CLE,QB,16.1,4,4
QB,Tyler Huntley,BAL,QB,14.4,3,4.8
QB,Jordan Love,GB,QB,13.2,4,3.3
QB,Mike Glennon,NYG,QB,10,1,10
QB,Brian Hoyer,NE,QB,9.8,3,3.3
QB,Mitchell Trubisky,BUF,QB,8.8,4,2.2
QB,P.J. Walker,CAR,QB,8.8,3,2.9
QB,Brandon Allen,CIN,QB,4.2,2,2.1
QB,Marcus Mariota,LV,QB,4.1,3,1.4
QB,Chad Henne,KC,QB,3.5,2,1.8
QB,Drew Lock,DEN,QB,3.5,1,3.5
QB,Chris Streveler,ARI,QB,2,2,1
QB,Blaine Gabbert,TB,QB,2,4,0.5
QB,C.J. Beathard,JAC,QB,1.3,1,1.3
QB,Tim Boyle,DET,QB,1.1,1,1.1
QB,Sam Ehlinger,IND,QB,1,2,0.5
QB,Ryan Fitzpatrick,WAS,QB,0.7,1,0.7
QB,David Blough,DET,QB,0.6,1,0.6
QB,Gardner Minshew II,PHI,QB,0.4,1,0.4
